24/10/2018 00:00:00,45,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
24/10/2018 00:00:00,40,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
24/10/2018 00:00:00,37,"Dipartimento di Filologia","Via Santa Maria, 36","43.71901","10.39753"
24/10/2018 00:00:00,28,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
24/10/2018 00:00:00,24,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
24/10/2018 00:00:00,23,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
24/10/2018 00:00:00,21,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
24/10/2018 00:00:00,17,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
24/10/2018 00:00:00,17,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
24/10/2018 00:00:00,16,"Mensa Betti","Via E. Betti","43.71483","10.41804"
24/10/2018 00:00:00,14,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
24/10/2018 00:00:00,11,"Edilizia","via Fermi, 4","43.71652","10.39422"
24/10/2018 00:00:00,11,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
24/10/2018 00:00:00,7,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
24/10/2018 00:00:00,6,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
24/10/2018 00:00:00,6,"Cittadella Galileiana","Via Nicola Pisano, 27","43.71686","10.39132"
24/10/2018 00:00:00,4,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
24/10/2018 00:00:00,3,"Ex Dipartimento di Chimica","Via Risorgimento, 35","43.71833","10.39137"
9/11/2018 00:00:00,1584,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
9/11/2018 00:00:00,1369,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
9/11/2018 00:00:00,1021,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
9/11/2018 00:00:00,562,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
9/11/2018 00:00:00,455,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
9/11/2018 00:00:00,451,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
9/11/2018 00:00:00,427,"Facoltà di Lingue","Via Santa Maria, 85","43.72004","10.39703"
9/11/2018 00:00:00,391,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
9/11/2018 00:00:00,289,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
9/11/2018 00:00:00,228,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
9/11/2018 00:00:00,224,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
9/11/2018 00:00:00,223,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
9/11/2018 00:00:00,175,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
9/11/2018 00:00:00,169,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
9/11/2018 00:00:00,167,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
9/11/2018 00:00:00,123,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
9/11/2018 00:00:00,123,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
9/11/2018 00:00:00,105,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
9/11/2018 00:00:00,99,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
9/11/2018 00:00:00,91,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
9/11/2018 00:00:00,81,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
9/11/2018 00:00:00,74,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
9/11/2018 00:00:00,55,"Mensa Betti","Via E. Betti","43.71483","10.41804"
9/11/2018 00:00:00,47,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
9/11/2018 00:00:00,44,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
9/11/2018 00:00:00,42,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
9/11/2018 00:00:00,41,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
