"timestamp","hour","count","area","address","lat","lon"
07/11/2018,"09",17,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
07/11/2018,"09",15,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"09",10,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
07/11/2018,"09",10,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
07/11/2018,"09",10,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"09",10,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"09",9,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
07/11/2018,"09",8,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
07/11/2018,"09",7,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
07/11/2018,"09",6,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
07/11/2018,"09",5,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
07/11/2018,"09",4,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
07/11/2018,"09",4,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
07/11/2018,"09",2,"Dipartimento di Filologia","Via Santa Maria, 36","43.71901","10.39753"
07/11/2018,"09",2,"Edilizia","via Fermi, 4","43.71652","10.39422"
07/11/2018,"09",2,"Mensa Betti","Via E. Betti","43.71483","10.41804"
07/11/2018,"09",2,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
07/11/2018,"09",2,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
07/11/2018,"09",1,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
07/11/2018,"09",1,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
07/11/2018,"09",1,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
07/11/2018,"09",1,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
07/11/2018,"10",341,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"10",220,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"10",163,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"10",75,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
07/11/2018,"10",74,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"10",72,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"10",60,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"10",47,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
07/11/2018,"10",37,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"10",33,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"10",29,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"10",26,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"10",24,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
07/11/2018,"10",22,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"10",22,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
07/11/2018,"10",22,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
07/11/2018,"10",20,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
07/11/2018,"10",19,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"10",17,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
07/11/2018,"10",15,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
07/11/2018,"10",14,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"10",13,"Mensa Betti","Via E. Betti","43.71483","10.41804"
07/11/2018,"10",12,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
07/11/2018,"10",12,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
07/11/2018,"10",11,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
07/11/2018,"10",10,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
07/11/2018,"10",10,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"10",9,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
07/11/2018,"10",8,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
07/11/2018,"10",8,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
07/11/2018,"10",6,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"10",5,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
07/11/2018,"10",5,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
07/11/2018,"10",4,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
07/11/2018,"10",3,"Dipartimento di Filologia","Via Santa Maria, 36","43.71901","10.39753"
07/11/2018,"10",3,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
07/11/2018,"10",3,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
07/11/2018,"10",2,"Edilizia","via Fermi, 4","43.71652","10.39422"
07/11/2018,"10",2,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
07/11/2018,"10",1,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
07/11/2018,"10",1,"Cittadella Galileiana","Via Nicola Pisano, 27","43.71686","10.39132"
07/11/2018,"10",1,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
07/11/2018,"10",1,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
07/11/2018,"11",322,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
07/11/2018,"11",315,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
07/11/2018,"11",111,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
07/11/2018,"11",91,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
07/11/2018,"11",74,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
07/11/2018,"11",66,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
07/11/2018,"11",62,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
07/11/2018,"11",56,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
07/11/2018,"11",53,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
07/11/2018,"11",49,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
07/11/2018,"11",40,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
07/11/2018,"11",31,"Scuola Superiore S.Anna","Piazza Martiri della Libert�, 33","43.72096","10.40278"
07/11/2018,"11",24,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
07/11/2018,"11",24,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
07/11/2018,"11",21,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
07/11/2018,"11",20,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
07/11/2018,"11",19,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
07/11/2018,"11",17,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
07/11/2018,"11",14,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
07/11/2018,"11",12,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
07/11/2018,"11",11,"Mensa Betti","Via E. Betti","43.71483","10.41804"
07/11/2018,"11",11,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
07/11/2018,"11",11,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
07/11/2018,"11",10,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
