timestamp,count,area,address,lat,lon
10/11/2018,35,DSU Piazza Cavalieri,"Piazza dei Cavalieri, 6",43.72009,10.40059
10/11/2018,31,Biblioteca Salesiani,"Via Nicola Pisano, 40",43.71745,10.39232
10/11/2018,31,Dipartimento di Scienze della Terra,"Via Santa Maria, 53",43.71829,10.39684
10/11/2018,27,Storia e filosofia,"Via Pasquale Paoli, 9",43.71837,10.3987
10/11/2018,26,Centro ricerche agroambientali,"Via Vecchia di Marina, 6 - S.Piero a Grado",43.67997,10.34677
10/11/2018,24,Mensa Betti,Via E. Betti,43.71483,10.41804
10/11/2018,22,Museo di storia naturale,"Via Roma, 79",43.7222,10.52264
10/11/2018,18,Università di Pisa - Uffici,"Lungarno Antonio Pacinotti, 43",43.71672,10.39885
10/11/2018,17,Centro Universitario Sportivo,"Via Federico Chiarugi, 5",43.72651,10.4126
10/11/2018,13,Palazzo della Sapienza,"Via Curtatone e Montanara, 15",43.71733,10.39951
10/11/2018,11,Biblioteca di Scienze naturali e ambientali,"Via Derna, 1",43.71857,10.39524
10/11/2018,9,Dipartimento di Scienze Politiche,"Via Filippo Serafini, 3",43.71675,10.39905
10/11/2018,8,Dipartimento di Farmacia,"Via Bonanno Pisano, 6",43.71654,10.3886
10/11/2018,5,Edilizia,"via Fermi, 4",43.71652,10.39422
10/11/2018,4,Dipartimento di Chimica,"Via Giuseppe Moruzzi, 13",43.71726,10.42732
10/11/2018,4,Pensionato Universiatario Toniolo,Via S. Zeno 8,43.72198,10.40591
10/11/2018,3,Biblioteca di Storia delle Arti,"Via Nicola Pisano, 40",43.71745,10.39232
10/11/2018,3,Orto Botanico,"Via Luca Ghini, 13",43.71914,10.39627
10/11/2018,2,Dipartimento di Biologia,"Via Alessandro Volta, 4Bis",43.71845,10.39603
10/11/2018,2,Palazzo Matteucci,"Piazza Evangelista Torricelli, 2",43.71823,10.39813
10/11/2018,1,Ex Dipartimento di Chimica,"Via Risorgimento, 35",43.71833,10.39137
10/11/2018,1,Polo didattico ex Guidotti,"Via Trieste, 38-40",43.7174,10.39228
10/11/2018,1,Retrovirus,"Strada Statale 12 dell'Abetone e del Brennero, 2",43.72512,10.41319
11/11/2018,568,Palazzo Congressi,"Via Giacomo Matteotti, 1",43.71052,10.41078
11/11/2018,558,DSU Lungarno Pacinotti,"Lungarno Antonio Pacinotti, 43",43.71672,10.39885
11/11/2018,413,Dipartimento di Economia,"Via Cosimo Ridolfi, 10",43.71119,10.41037
11/11/2018,320,Ospedale Santa Chiara,"Via Roma, 67",43.72186,10.39571
11/11/2018,290,Dipartimento di Giurisprudenza,"Via Collegio Ricci, 10",43.71779,10.39706
11/11/2018,235,Scuola di Ingegneria,"Largo Lucio Lazzarino, 1",43.72103,10.38988
