timestamp,count,area,address
12/11/2018,230,Palazzo Matteucci,"Piazza Evangelista Torricelli, 2"
12/11/2018,41,Pensionato Universiatario Toniolo,Via S. Zeno 8
12/11/2018,485,Polo Carmignani,"Piazza dei Cavalieri, 8"
12/11/2018,248,Polo didattico ex Guidotti,"Via Trieste, 38-40"
12/11/2018,3975,Polo Fibonacci,"Largo Bruno Pontecorvo, 3"
12/11/2018,1706,Polo Portanuova,Via Marinello Nelli
12/11/2018,184,Residenza I Praticelli,"Via Giovanni Berchet, 40"
12/11/2018,32,Retrovirus,"Strada Statale 12 dell'Abetone e del Brennero, 2"
12/11/2018,4341,Scuola di Ingegneria,"Largo Lucio Lazzarino, 1"
12/11/2018,365,Scuola Superiore S.Anna,"Piazza Martiri della Libertà, 33"
12/11/2018,194,Storia e filosofia,"Via Pasquale Paoli, 9"
12/11/2018,172,Università di Pisa - Uffici,"Lungarno Antonio Pacinotti, 43"
12/11/2018,146,USID,"Edificio G, Largo Bruno Pontecorvo, 3"
