"timestamp","count","area","address","lat","lon"
"01/03/2018",97.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/03/2018",89.00,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
"01/03/2018",87.00,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
"01/03/2018",85.00,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
"01/03/2018",77.00,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
"01/03/2018",63.00,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/03/2018",53.00,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
"01/03/2018",46.00,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
"01/03/2018",40.00,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
"01/03/2018",35.00,"Dipartimento di Filologia","Via Santa Maria, 36","43.71901","10.39753"
"01/03/2018",27.00,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
"01/03/2018",21.00,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
"01/03/2018",21.00,"Orto Botanico","Via Luca Ghini, 13","43.71914","10.39627"
"01/03/2018",18.00,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
"01/03/2018",16.00,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
"01/03/2018",15.00,"Mensa Betti","Via E. Betti","43.71483","10.41804"
"01/03/2018",15.00,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
"01/03/2018",10.00,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
"01/03/2018",9.00,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
"01/03/2018",8.00,"Edilizia","via Fermi, 4","43.71652","10.39422"
"01/03/2018",6.00,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
"01/03/2018",5.00,"Cittadella Galileiana","Via Nicola Pisano, 27","43.71686","10.39132"
"01/03/2018",4.00,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
"01/03/2018",4.00,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
"01/03/2018",1.00,"Ex Dipartimento di Chimica","Via Risorgimento, 35","43.71833","10.39137"
"01/04/2018",76.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/04/2018",61.00,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
"01/04/2018",52.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/04/2018",35.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/04/2018",31.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/04/2018",30.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/04/2018",28.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/04/2018",26.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/04/2018",18.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/04/2018",18.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/04/2018",15.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/04/2018",14.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/04/2018",14.00,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
"01/04/2018",6.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/04/2018",5.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/04/2018",4.00,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
"01/04/2018",3.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
"01/04/2018",2.00,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
"01/04/2018",1.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/04/2018",1.00,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
"01/04/2018",1.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/04/2018",1.00,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
"01/04/2018",1.00,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
"01/04/2018",1.00,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
"01/05/2018",774.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/05/2018",696.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/05/2018",542.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/05/2018",263.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/05/2018",230.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/05/2018",226.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/05/2018",220.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/05/2018",199.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/05/2018",144.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/05/2018",135.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
"01/05/2018",121.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/05/2018",107.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/05/2018",98.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/05/2018",97.00,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
"01/05/2018",93.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/05/2018",70.00,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
"01/05/2018",66.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/05/2018",57.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/05/2018",55.00,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
"01/05/2018",51.00,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
"01/05/2018",44.00,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
"01/05/2018",30.00,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
"01/05/2018",27.00,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
"01/05/2018",27.00,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
"01/05/2018",25.00,"Mensa Betti","Via E. Betti","43.71483","10.41804"
"01/05/2018",25.00,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/05/2018",23.00,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
"01/05/2018",22.00,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
"01/05/2018",22.00,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
"01/05/2018",19.00,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
"01/05/2018",19.00,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
"01/05/2018",14.00,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
"01/05/2018",14.00,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
"01/05/2018",11.00,"Dipartimento di Scienze Politiche","Via Filippo Serafini, 3","43.71675","10.39905"
"01/05/2018",10.00,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
"01/05/2018",9.00,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
"01/05/2018",6.00,"Pensionato Universiatario Toniolo","Via S. Zeno 8","43.72198","10.40591"
"01/05/2018",3.00,"Dipartimento di Filologia","Via Santa Maria, 36","43.71901","10.39753"
"01/05/2018",2.00,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
"01/05/2018",1.00,"Cittadella Galileiana","Via Nicola Pisano, 27","43.71686","10.39132"
"01/05/2018",1.00,"Museo di storia naturale","Via Roma, 79","43.7222","10.52264"
"01/05/2018",1.00,"Retrovirus","Strada Statale 12 dell'Abetone e del Brennero, 2","43.72512","10.41319"
"01/06/2018",232.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/06/2018",185.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/06/2018",117.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/06/2018",78.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/06/2018",66.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/06/2018",51.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/06/2018",49.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/06/2018",39.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/06/2018",34.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/06/2018",29.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/06/2018",28.00,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
"01/06/2018",23.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
"01/06/2018",21.00,"Polo Carmignani","Piazza dei Cavalieri, 8","43.72013","10.40091"
"01/06/2018",19.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/06/2018",18.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/06/2018",13.00,"Dipartimento di Farmacia","Via Bonanno Pisano, 6","43.71654","10.3886"
"01/06/2018",10.00,"Biblioteca Salesiani","Via Nicola Pisano, 40","43.71745","10.39232"
"01/06/2018",7.00,"Dipartimento di Scienze della Terra","Via Santa Maria, 53","43.71829","10.39684"
"01/06/2018",5.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/06/2018",5.00,"Mensa Betti","Via E. Betti","43.71483","10.41804"
"01/06/2018",5.00,"USID","Edificio G, Largo Bruno Pontecorvo, 3","43.71993","10.40923"
"01/06/2018",4.00,"Ex Monastero Benedettine","Lungarno Sidney Sonnino, 18","43.71382","10.39403"
"01/06/2018",3.00,"Dipartimento di Chimica","Via Giuseppe Moruzzi, 13","43.71726","10.42732"
"01/06/2018",2.00,"Biblioteca di Storia delle Arti","Via Nicola Pisano, 40","43.71745","10.39232"
"01/06/2018",2.00,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
"01/06/2018",2.00,"Polo didattico ex Guidotti","Via Trieste, 38-40","43.7174","10.39228"
"01/06/2018",1.00,"Biblioteca di Scienze naturali e ambientali","Via Derna, 1","43.71857","10.39524"
"01/06/2018",1.00,"Centro ricerche agroambientali","Via Vecchia di Marina, 6 - S.Piero a Grado","43.67997","10.34677"
"01/06/2018",1.00,"Centro Universitario Sportivo","Via Federico Chiarugi, 5","43.72651","10.4126"
"01/06/2018",1.00,"Dipartimento di Biologia","Via Alessandro Volta, 4Bis","43.71845","10.39603"
"01/06/2018",1.00,"Palazzo della Sapienza","Via Curtatone e Montanara, 15","43.71733","10.39951"
"01/06/2018",1.00,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
"01/06/2018",1.00,"Palazzo Matteucci","Piazza Evangelista Torricelli, 2","43.71823","10.39813"
"01/06/2018",1.00,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
"01/06/2018",1.00,"Storia e filosofia","Via Pasquale Paoli, 9","43.71837","10.3987"
"01/06/2018",1.00,"Universita' di Pisa - Uffici","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/07/2018",166.00,"Palazzo Congressi","Via Giacomo Matteotti, 1","43.71052","10.41078"
"01/07/2018",146.00,"DSU Lungarno Pacinotti","Lungarno Antonio Pacinotti, 43","43.71672","10.39885"
"01/07/2018",111.00,"Dipartimento di Economia","Via Cosimo Ridolfi, 10","43.71119","10.41037"
"01/07/2018",81.00,"Dipartimento di Giurisprudenza","Via Collegio Ricci, 10","43.71779","10.39706"
"01/07/2018",80.00,"Ospedale Santa Chiara","Via Roma, 67","43.72186","10.39571"
"01/07/2018",63.00,"Facolta' di Lingue","Via Santa Maria, 85","43.72004","10.39703"
"01/07/2018",63.00,"Scuola di Ingegneria","Largo Lucio Lazzarino, 1","43.72103","10.38988"
"01/07/2018",61.00,"Aula Studio Pacinotti","Via Filippo Buonarroti, 6","43.72254","10.40751"
"01/07/2018",59.00,"Polo Portanuova","Via Marinello Nelli","43.72587","10.39133"
"01/07/2018",39.00,"Polo Fibonacci","Largo Bruno Pontecorvo, 3","43.72115","10.40774"
"01/07/2018",33.00,"Scuola Superiore S.Anna","Piazza Martiri della Libertà, 33","43.72096","10.40278"
"01/07/2018",32.00,"Accademia Navale","Viale Italia, 72","43.52793","10.30778"
"01/07/2018",26.00,"Residenza I Praticelli","Via Giovanni Berchet, 40","43.7191","10.42715"
"01/07/2018",21.00,"Dipartimento di Scienze Veterinarie","Viale delle Piagge, 2","43.70851","10.41197"
"01/07/2018",11.00,"DSU Piazza Cavalieri","Piazza dei Cavalieri, 6","43.72009","10.40059"
"01/07/2018",10.00,"Palazzo Lanfranchi","Lungarno Galileo Galilei, 9","43.71381","10.40519"
"01/07/2018",8.00,"Ospedale di Cisanello","Via Pietro Trivella","43.70041","10.4393"
"01/07/2018",7.00,"Dipartimento  di Agraria","Via del Borghetto, 80","43.71111","10.41331"
